Date,Open,High,Low,Close,Adj Close,Volume
2020-06-22,17.049999,17.160000,16.600000,16.776667,16.145081,22384200
2020-06-23,16.943333,17.546665,16.883333,17.426666,16.770609,40578300
2020-06-24,17.436666,17.879999,17.236666,17.549999,16.889299,36292200
2020-06-25,17.600000,18.356667,17.546665,18.333332,17.643141,32242200
2020-06-26,18.213333,18.396666,17.633333,17.816666,17.145927,28312500
2020-06-29,17.940001,18.320000,17.809999,18.320000,17.630310,26538600
2020-06-30,18.183332,18.660000,18.086666,18.363333,17.672010,39472500
2020-07-01,18.486666,18.973333,18.386665,18.676666,18.021574,32594100
2020-07-02,19.013332,19.066666,18.566666,18.733334,18.076250,21828000
2020-07-03,18.796665,18.840000,18.610001,18.833332,18.172743,7987200
2020-07-06,19.166666,19.333332,18.840000,18.840000,18.179176,19884600
2020-07-07,18.850000,19.200001,18.750000,19.056665,18.388241,27116400
2020-07-08,19.203333,20.296665,19.076666,20.216665,19.507553,41541300
2020-07-09,20.323334,20.323334,19.480000,19.629999,18.941465,40482000
2020-07-10,19.600000,19.993334,19.200001,19.983334,19.282406,24051300
2020-07-13,20.116667,20.520000,19.866667,19.963333,19.263109,29562300
2020-07-14,20.003332,20.650000,19.893333,20.379999,19.665159,31139100
2020-07-15,20.700001,20.763332,20.423332,20.629999,19.906391,31653300
2020-07-16,20.583332,20.716665,20.206667,20.500000,19.780952,43119900
2020-07-17,20.716665,21.350000,20.573334,21.296665,20.549671,38169000
2020-07-20,21.433332,22.466665,21.286667,22.466665,21.678633,43989600
2020-07-21,22.716665,23.250000,21.826666,22.043333,21.270149,44000100
2020-07-22,22.150000,22.483334,21.843332,22.233334,21.453485,29861100
2020-07-23,22.410000,22.500000,21.600000,21.840000,21.073950,27288000
2020-07-24,21.846666,22.016666,21.466665,21.783333,21.019270,27299400
2020-07-27,21.799999,22.296665,21.753332,22.076666,21.302315,26651100
2020-07-28,22.073334,22.073334,21.250000,21.743334,20.980673,38831400
2020-07-29,21.833332,21.873333,21.286667,21.543333,20.787687,31053600
